D,R,N_R,H_R,C_sigma_inerte
-43,404461,10701,1.000004944853,0.341571994676
-43,404481,22924,2.142857142857,0.341458091620
-43,404501,356,1.004889975550,0.011307117410
-43,404521,12441,1.129254105473,0.351612430521
-43,404541,21101,1.963224988320,0.343015515032
-43,404561,10848,1.015285704752,0.340974889765
-43,404581,10822,1.004750593824,0.343708635803
-43,404601,17570,1.666691382374,0.336386030570
-43,404621,14012,1.285714285714,0.347742070192
-43,404641,10715,1.000000000000,0.341880198839
-43,404661,17628,1.666691378710,0.337450303300
-43,404681,12116,1.111094911795,0.347896671964
-43,404701,10758,1.000054361121,0.343186582181
-43,404721,20451,1.905102527420,0.342451256166
-43,404741,10844,1.009942160542,0.342511987518
-43,404761,13984,1.285714285714,0.346936439835
-43,404781,17706,1.666666666667,0.338855770060
-43,404801,10779,1.001813236627,0.343174560022
-43,404821,10795,1.000083987738,0.344262530901
-43,404841,17656,1.666666666667,0.337852674438
-43,404861,10984,1.022921447114,0.342438225303
-43,404881,10655,1.000000000000,0.339779881025
-43,404901,26260,2.429327168864,0.344693528316
-43,404921,10968,1.015267175573,0.344470251023
-43,404941,10678,1.000000000000,0.340466787255
-43,404961,17725,1.666666666667,0.339080287213
-43,404981,10717,1.000004938503,0.341677473470
-43,405001,10785,1.000004938259,0.343829772451
-43,405021,17564,1.666691356744,0.335949450583
-43,405041,13931,1.286292005007,0.345245977936
-43,405061,11919,1.105366845981,0.343715809352
-43,405081,21592,1.998279356474,0.344415755474
-43,405101,12037,1.104013566987,0.347512483013
-43,405121,10880,1.008298755187,0.343911298164
-43,405141,17611,1.666938177079,0.336706518190
-43,405161,10727,1.000000000000,0.341857806928
-43,405181,14469,1.326530612245,0.347591129155
-43,405201,17684,1.666666666667,0.338111096826
-43,405221,10730,1.000004935578,0.341905015047
-43,405241,10649,1.000000000000,0.339310223475
-43,405261,21528,1.990990990991,0.344510715540
-43,405281,10703,1.000000000000,0.340999779134
-43,405301,10787,1.000064149854,0.343638346359
-43,405321,23022,2.143079189087,0.342226677409
-43,405341,10731,1.000000000000,0.341845175917
-43,405361,359,1.000000000000,0.011435731255
-43,405381,18075,1.691186809446,0.340436759365
-43,405401,10689,1.000000000000,0.340460736976
-43,405421,10654,1.000000000000,0.339330490285
-43,405441,22689,2.087719298246,0.346125564329
-43,405461,13878,1.285758679626,0.343746339478
-43,405481,11163,1.028169014085,0.345754080513
-43,405501,17666,1.667085901145,0.337451518371
-43,405521,10644,1.000000000000,0.338934863999
-43,405541,10727,1.000004931684,0.341560591695
-43,405561,17712,1.666666666667,0.338369113387
-43,405581,10748,1.000054243172,0.342181245263
-43,405601,13919,1.285758664303,0.344652092719
-43,405621,21175,1.962962962963,0.343418670171
-43,405641,10751,1.000004930468,0.342246924492
-43,405661,11142,1.027397260274,0.345221496109
-43,405681,19150,1.782373342602,0.341997889923
-43,405701,10784,1.000004929739,0.343250605898
-43,405721,10793,1.006763268354,0.341215411268
-43,405741,22994,2.142857142857,0.341519401653
-43,405761,10825,1.011040982253,0.340748120298
-43,405781,10717,1.000004928767,0.341055977534
-43,405801,20239,1.888888888889,0.340971018307
-43,405821,12115,1.105263157895,0.348797052683
-43,405841,10783,1.000083776651,0.343082494776
-43,405861,17743,1.666666666667,0.338730181631
-43,405881,13990,1.286734289114,0.345927181883
-43,405901,10722,1.000000000000,0.341123712141
-43,405921,17759,1.673293571902,0.337646870854
